facId,year,economicNoncooperation,protestDemonstration,nonviolentIntervention,socialNoncooperation,institutionalAction,politicalNoncooperation
101001,1978,0,0,0,0,0,0
101001,1979,0,0,0,0,0,0
101001,1980,0,0,0,0,0,0
101001,1981,0,0,0,0,0,0
101001,1982,0,0,0,0,0,0
101001,1983,0,0,0,0,0,0
101001,1984,0,0,0,0,0,0
101001,1985,0,0,0,0,0,0
101001,1986,0,0,0,0,0,0
101001,1987,0,0,0,0,0,0
101001,1988,0,0,0,0,0,0
101001,1989,0,0,0,0,0,0
101001,1990,0,0,0,0,0,0
101001,1991,0,0,0,0,0,0
101001,1992,0,0,0,0,1,0
101001,1993,0,0,0,0,0,0
101001,1994,0,0,0,0,0,0
101001,1995,0,0,0,0,0,0
101001,1996,0,0,0,0,0,0
101001,1997,0,0,0,0,0,0
101001,1998,0,0,0,0,0,0
101001,1999,0,0,0,0,0,0
101001,2000,0,0,0,0,0,0
101001,2001,0,0,0,0,1,0
101001,2002,0,0,0,0,0,0
101001,2003,0,0,0,0,0,0
101001,2004,0,0,0,0,0,0
101001,2005,0,0,0,0,1,0
101001,2006,0,0,0,0,1,0
101001,2007,0,1,0,0,1,0
101001,2008,0,1,0,0,1,0
101001,2009,0,1,0,0,1,0
101001,2010,0,0,0,0,1,0
101001,2011,0,0,0,0,1,0
101001,2012,0,0,0,0,1,0
101001,2013,0,0,0,0,0,0
101001,2014,0,0,0,0,1,0
101001,2015,0,0,0,0,1,0
101001,2016,0,0,0,0,1,0
101001,2017,0,1,0,0,0,0
101001,2018,0,0,0,0,1,0
101001,2019,0,0,0,0,1,0
101001,2020,0,1,0,0,0,0
101002,1996,0,1,0,0,0,0
101002,1997,0,0,0,0,0,0
101002,1998,0,0,0,0,0,0
101002,1999,0,0,0,0,0,0
101002,2000,0,0,0,0,0,0
101002,2001,0,0,0,0,0,0
101002,2002,0,0,0,0,1,0
101002,2003,0,0,0,0,0,0
101003,2004,0,0,0,0,1,0
101003,2005,0,0,0,0,1,0
101003,2006,0,0,0,0,1,0
101003,2007,0,0,0,0,1,0
101003,2008,0,0,0,0,1,0
101003,2009,0,0,0,0,1,0
101003,2010,0,0,0,0,0,0
101003,2011,0,0,0,0,1,0
101003,2012,0,0,0,0,1,0
101003,2013,0,0,0,0,1,0
101003,2014,0,0,0,0,1,0
101003,2015,0,0,0,0,1,0
101003,2016,0,0,0,0,1,0
101004,2005,0,0,0,0,1,0
101004,2006,0,0,0,0,0,0
102001,1988,0,0,0,0,0,0
102001,1989,0,0,0,0,0,0
102001,1990,0,1,0,0,0,0
102001,1991,1,1,0,0,0,0
102001,1992,0,0,0,0,0,0
102001,1993,0,0,0,0,0,0
102001,1994,1,1,0,0,0,0
102001,1995,1,1,0,0,0,0
102001,1996,0,1,0,0,0,0
102001,1997,0,0,0,0,0,0
102001,1998,0,1,0,0,0,0
102001,1999,0,1,0,0,0,0
102001,2000,0,0,0,0,0,0
102001,2001,0,1,0,0,0,0
102001,2002,0,0,0,0,0,0
102001,2003,1,1,0,0,0,0
102002,1995,0,0,0,0,0,0
102002,1996,0,0,0,0,0,0
102002,1997,0,0,0,0,0,0
102002,1998,0,0,0,0,0,0
102002,1999,0,0,0,0,0,0
102002,2000,0,0,0,0,0,0
102002,2001,0,0,0,0,0,0
102002,2002,0,0,0,0,0,0
102002,2003,0,0,0,0,0,0
102002,2004,0,0,0,0,0,0
102002,2005,0,0,0,0,0,0
102002,2006,0,0,0,0,0,0
102002,2007,0,0,0,0,0,0
102002,2008,0,0,0,0,0,0
102002,2009,0,0,0,0,0,0
102002,2010,0,0,0,0,0,0
102002,2011,0,0,0,0,0,0
102002,2012,0,0,0,0,0,0
102002,2013,0,0,0,0,0,0
102002,2014,0,0,0,0,0,0
102002,2015,0,0,0,0,0,0
102002,2016,0,1,0,0,0,0
102002,2017,0,0,0,0,0,0
102002,2018,0,1,0,0,0,0
102002,2019,0,0,0,0,0,0
102002,2020,0,0,0,0,0,0
102003,2001,0,0,0,0,0,0
102003,2002,0,0,0,0,0,0
102003,2003,0,0,0,0,0,0
102003,2004,0,0,0,0,0,1
102003,2005,0,0,0,0,0,0
102003,2006,0,0,0,0,0,0
102003,2007,0,0,0,0,0,0
102003,2008,0,0,0,0,0,0
102003,2009,0,1,0,0,0,0
102003,2010,0,0,0,0,0,0
102003,2011,0,0,0,0,0,1
102003,2012,0,0,0,0,0,0
102003,2013,0,0,0,0,0,0
102003,2014,0,0,0,0,0,0
102003,2015,0,0,0,0,0,0
102003,2016,0,0,0,0,0,0
102004,1997,0,1,0,0,1,0
102004,1998,0,1,0,0,0,0
102004,1999,0,0,0,0,0,1
102004,2000,0,0,0,0,0,0
102004,2001,0,1,0,0,0,1
102004,2002,0,0,0,0,0,1
102004,2003,0,0,0,0,0,0
102004,2004,0,0,0,0,1,0
102004,2005,0,0,0,0,1,0
102004,2006,0,0,0,0,0,0
102004,2007,0,0,0,0,1,0
102004,2008,0,0,0,0,0,0
102004,2009,0,0,0,0,0,1
102004,2010,0,1,0,0,0,0
102004,2011,0,1,0,0,0,0
102004,2012,0,0,0,0,0,0
102004,2013,0,1,0,0,0,0
102004,2014,0,1,0,0,0,1
102004,2015,0,1,0,0,0,0
102004,2016,0,0,0,0,0,0
102004,2017,0,0,0,0,1,0
102004,2018,0,0,0,0,0,0
102004,2019,0,0,0,0,0,1
102004,2020,0,0,0,0,0,0
102005,1963,0,0,0,0,0,0
102005,1964,0,0,0,0,0,0
102005,1965,0,0,0,0,0,0
102005,1966,0,0,0,0,0,0
102005,1967,0,0,0,0,0,0
102005,1968,0,0,0,0,0,0
102005,1969,0,0,0,0,0,0
102005,1970,0,0,0,0,0,0
102005,1971,0,0,0,0,0,0
102005,1972,0,0,0,0,0,0
102005,1973,0,0,0,0,0,0
102005,1974,0,0,0,0,0,0
102005,1975,0,0,0,0,0,0
102005,1976,0,0,0,0,0,0
102005,1977,0,0,0,0,0,0
102005,1978,0,0,0,0,0,0
102005,1979,0,0,0,0,0,0
102005,1980,0,0,0,0,0,0
102005,1981,0,0,0,0,0,0
102005,1982,0,0,0,0,0,0
102005,1983,0,0,0,0,0,0
102005,1984,0,0,0,0,0,0
102005,1985,0,0,0,0,0,0
102005,1986,0,0,0,0,0,0
102005,1987,0,0,0,0,0,0
102005,1988,0,0,0,0,0,0
102005,1989,0,0,0,0,1,0
102005,1990,0,1,0,0,0,1
102005,1991,0,0,0,0,1,0
102005,1992,0,1,0,0,0,0
102005,1993,0,0,0,0,0,0
102005,1994,0,0,0,0,0,1
102005,1995,0,1,0,0,0,1
102005,1996,0,0,0,0,0,1
102005,1997,0,1,0,0,1,0
102005,1998,0,1,0,0,0,0
102005,1999,0,1,0,0,1,1
102005,2000,0,0,0,0,0,0
102005,2001,0,1,0,0,0,0
102005,2002,0,0,0,0,1,1
102005,2003,0,0,0,0,0,0
102005,2004,0,0,0,0,0,1
102005,2005,0,0,0,0,0,0
102005,2006,0,1,0,0,0,0
102005,2007,0,0,0,0,0,1
102005,2008,0,0,0,0,0,0
102005,2009,0,0,0,0,0,1
102005,2010,0,0,0,0,0,0
102005,2011,0,0,0,0,0,0
102005,2012,0,0,1,0,0,0
102005,2013,0,0,0,0,0,0
102005,2014,0,0,0,0,0,1
102005,2015,0,0,0,0,0,0
102005,2016,0,0,0,0,0,0
102005,2017,0,0,0,0,0,0
